record_id,teacher_id,teacher_name,state,district,block,school_id,school_name,subject,grade,project_id,project_title,submission_date,status,student_count,pre_test_score,post_test_score,improvement_raw,training_hours,mentor_name,feedback_rating,last_updated,remarks
118,T1049,Rahul Yadav,Uttar Pradesh,Lucknow,Block B,SCH011,Mission School No. 1,MATH,8th,MI10020,Improving basic numeracy,20-01-25,SUBMITTED,43,62,82,20%,,Anamika Singh,5.0,2025-01-28 00:00:00,
119,T1043, Neha Singh ,Uttar Pradesh,Amritsar,Urban,SCH034,Model School West,SOC SCI,6,MI10045,Homework support group,31-01-25,In-Review,10,41,48,7,7.5,Anamika Singh,1,2025-02-04 00:00:00,Data not verified yet
120,T1022, Rahul Kaur ,Bihar,Amritsar,Rural,SCH041,ZP School East,English,9,MI10090,Homework support group,24/03/2025,Submitted,24,3,-10,-13%,18.2,John Doe,4,2025-03-30 00:00:00,Follow-up visit required
121,T1080, Priya Kaur ,Bihar,Gaya,Block C,SCH060,Govt High School Central,SOC SCI  ,10,MI10037,Homework support group,2025-02-18,in review,,20,32,12,17.7,Simran Kaur,1,2025-02-26 00:00:00,
122,T1051,Priya Singh,Punjab,Varanasi,Block B,SCH027,ZP School No. 2,Science,9,MI10033,Reading fluency project,2025-01-15,SUBMITTED,11,70,79,9,7.1,Ravi Kumar,6,2025-01-24 00:00:00,Need support with data entry
123,T1079,Rohit Kaur,Punjab,Varanasi,Block C,SCH028,ZP School No. 1,MATH,9,MI10092,Homework support group,05/02/2025,Draft,47,61,70,9%,16.5,Anamika Singh,5.0,2025-02-15 00:00:00,Need support with data entry
124,T1004,Amit Das,Punjab,Patna,Urban,SCH017,Model School No. 2,MATH  ,Class 7,MI10099,Peer learning circles,04/04/2025,Draft,70,11,-10,-21,2.8,Ravi Kumar,5.0,2025-04-13 00:00:00,Data not verified yet
125,T1046,Rahul Devi,Nagaland,Amritsar,Block A,SCH017,Mission School No. 2,Math,9,MI10102,Science lab activities,2025-02-19,Rejected,10,41,39,-2,13.1,Simran Kaur,1,2025-02-27 00:00:00,Follow-up visit required
126,T1046, Neha Yadav ,Nagaland,Patna,Urban,SCH057,ZP School East,Science,9,MI10083,Science lab activities,2025-01-28,Draft,20,29,37,8%,0.4,Ayesha Khan,6,2025-02-06 00:00:00,Great improvement shown
127,T1019,Rahul Devi,Uttar Pradesh,Ludhiana,Urban,SCH026,Govt High School Central,English,9,MI10061,Homework support group,2025-01-22,Rejected,79,23,37,14,7.7,Ayesha Khan,NA,2025-01-30 00:00:00,
128,T1023,Sunita Das,Bihar,Gaya,Block A,SCH031,ZP School West,sci  ,6,MI10100,Homework support group,2025-03-08,SUBMITTED,,67,75,8,13.9,Ayesha Khan,3,2025-03-15 00:00:00,Great improvement shown
129,T1070,Amit Singh,Punjab,Patna,Rural,SCH048,Govt High School West,sci,7,MI10049,Reading fluency project,30/03/2025,Rejected,24,54,69,15,4.1,Anamika Singh,4,2025-04-01 00:00:00,Follow-up visit required
130,T1074,Neha Kaur,Nagaland,Ludhiana,Rural,SCH008,ZP School East,Science,7,MI10052,Science lab activities,2025-04-13,in review,11,20,-10,-30,,Ravi Kumar,5,2025-04-13 00:00:00,Data not verified yet
131,T1067,Rohit Kaur,Bihar,Ludhiana,Rural,SCH032,Model School No. 1,Social Science,IX,MI10005,Peer learning circles,2025-03-07,Draft,9,46,48,2,4.0,Ayesha Khan,1,2025-03-08 00:00:00,
132,T1045,Neha Singh,Punjab,Amritsar,Block D,SCH060,Model School West,Math,10,MI10065,Improving basic numeracy,2025-03-13,Approved,19,65,90,25,4.9,Simran Kaur,4,2025-03-23 00:00:00,Teacher changed mid-term
133,T1034,Priya Yadav,Punjab,Amritsar,Block C,SCH027,Mission School West,sci,6,MI10034,Reading fluency project,2025-02-06,in review,48,9,21,12,18.2,John Doe,2,2025-02-09 00:00:00,Follow-up visit required
134,T1080,Neha Devi,Bihar,Gaya,Block A,SCH044,Model School West,Math,IX,MI10109,Homework support group,2025-02-17,Rejected,78,35,45,10%,8.5,Anamika Singh,NA,2025-02-22 00:00:00,Teacher changed mid-term
135,T1016,Sunita Singh,Bihar,Patna,Rural,SCH014,Model School West,English,Class 6,MI10111,Science lab activities,2025-01-24, Draft,48,46,46,0,2.6,Anamika Singh,1,2025-01-28 00:00:00,Great improvement shown
136,T1020, Sunita Kumar ,Punjab,Dimapur,Block D,SCH009,Mission School East,maths,10,MI10073,Improving basic numeracy,2025-02-20,Draft,30+,32,42,10,6.9,John Doe,6,2025-03-02 00:00:00,
137,T1023,Rohit Singh,Uttar Pradesh,Kohima,Rural,SCH029,Govt High School East,social science ,10,MI10019,Reading fluency project,23/03/2025, Approved,78,51,73,22,7.9,John Doe,3,2025-04-01 00:00:00,
138,T1003,Anita Kaur,Punjab,Lucknow,Rural,SCH045,Govt High School No. 2,Science,Class 7,MI10009,Homework support group,2025-03-12,SUBMITTED,15,13,16,3,2.5,Anamika Singh,1,2025-03-12 00:00:00,Data not verified yet
139,T1060,Rohit Das,Nagaland,Ludhiana,Rural,SCH035,ZP School West,social science ,8th,MI10082,Peer learning circles,2025-02-25,in review,49,61,73,12%,15.2,Ravi Kumar,4,2025-03-05 00:00:00,Need support with data entry
140,T1039,Rahul Yadav,Uttar Pradesh,Amritsar,Block A,SCH036,Mission School No. 2,Mathematic,IX,MI10032,Reading fluency project,02/04/2025,Rejected,33,33,30,-3,14.9,Simran Kaur,1,2025-04-04 00:00:00,Great improvement shown
141,T1035,Sunita Devi,Uttar Pradesh,Patna,Block B,SCH004,Govt High School No. 2,English  ,10,MI10092,Homework support group,2025-04-04,Submitted,68,27,32,5%,,Ravi Kumar,NA,2025-04-10 00:00:00,Need support with data entry
142,T1033,Amit Kumar,Bihar,Amritsar,Block D,SCH050,Model School No. 2,Math  ,9,MI10099,Improving basic numeracy,2025-03-08,Draft,44,41,-10,-51,17.8,Ravi Kumar,2,2025-03-18 00:00:00,Teacher changed mid-term
143,T1016,Amit Devi,Bihar,Patna,Urban,SCH051,Model School West,Science,Class 6,MI10032,Reading fluency project,2025-03-05, In-Review,12,7,13,6,15.1,John Doe,1,2025-03-11 00:00:00,Follow-up visit required
144,T1057,Rohit Das,Nagaland,Amritsar,Urban,SCH012,Mission School Central, Eng ,10,MI10077,Peer learning circles,2025-01-21,Draft,38,69,75,6,12.4,Simran Kaur,5,2025-01-27 00:00:00,Great improvement shown
145,T1079,Rohit Singh,Nagaland,Varanasi,Block A,SCH007,Govt High School No. 1,Science,8,MI10026,Improving basic numeracy,2025-03-04,Submitted,54,62%,73,NA,13.1,Ayesha Khan,1,2025-03-09 00:00:00,
146,T1008, Rohit Das ,Bihar,Gaya,Block C,SCH005,ZP School West,English,7,MI10069,Homework support group,2025-01-25,in review,27,71,89,18,2.1,Ravi Kumar,5,2025-01-30 00:00:00,Data not verified yet
147,T1046,Neha Das,Uttar Pradesh,Varanasi,Block D,SCH049,Model School Central,social science ,9,MI10028,Homework support group,2025-04-09,in review,62,57,82,25,6.0,Ravi Kumar,3,2025-04-09 00:00:00,Data not verified yet
148,T1074,Anita Kumar,Bihar,Kohima,Block C,SCH010,ZP School Central,MATH,Ten,MI10033,Science lab activities,2025-01-12,In-Review,14,41,61,20%,0.7,Anamika Singh,1,2025-01-17 00:00:00,Follow-up visit required
149,T1016,Suresh Kaur,Bihar,Dimapur,Block A,SCH020,Govt High School Central,sci  ,Ten,MI10065,Reading fluency project,2025-01-20, in review,62,76,89,13%,1.0,John Doe,4,2025-01-28 00:00:00,Teacher changed mid-term
150,T1072,Suresh Yadav,Nagaland,Amritsar,Urban,SCH040,ZP School No. 2,English  ,10,MI10042,Peer learning circles,2025-01-12,Rejected,49,24,29,5,12.5,John Doe,NA,2025-01-15 00:00:00,Great improvement shown
151,T1011,Priya Kaur,Bihar,Amritsar,Urban,SCH060,ZP School Central,Math,Class 6,MI10015,Science lab activities,2025-02-27,Approved,73,27,28,1,7.5,Anamika Singh,NA,2025-03-01 00:00:00,Need support with data entry
152,T1007,Sunita Kaur,Bihar,Gaya,Block D,SCH043,Mission School Central,English  ,6,MI10114,Homework support group,30-01-25,in review,30+,40,50,10,,Ravi Kumar,3,2025-02-04 00:00:00,Teacher changed mid-term
153,T1046, Neha Kaur ,Uttar Pradesh,Amritsar,Urban,SCH018,Govt High School Central,Mathematic,6,MI10036,Reading fluency project,2025-01-20,Rejected,16,48,59,11%,18.2,Simran Kaur,2,2025-01-23 00:00:00,Data not verified yet
154,T1018,Rohit Kaur,Punjab,Dimapur,Block B,SCH042,ZP School Central,English,IX,MI10093,Improving basic numeracy,2025-01-24,Draft,45,52,77,25,2.1,Ravi Kumar,NA,2025-02-02 00:00:00,
155,T1030,Suresh Kaur,Bihar,Varanasi,Block A,SCH045,Model School No. 2,sci,Ten,MI10084,Science lab activities,24/01/2025,Rejected,25,120%,26,,15.2,Ayesha Khan,5.0,2025-01-31 00:00:00,
156,T1032,Amit Yadav,Bihar,Dimapur,Rural,SCH021,Model School West,social science ,Ten,MI10083,Improving basic numeracy,2025-03-08, Rejected,10,31%,42,,8.8,Simran Kaur,3,2025-03-15 00:00:00,Great improvement shown
157,T1067,Anita Yadav,Nagaland,Gaya,Rural,SCH033,Govt High School No. 2,social science ,IX,MI10053,Science lab activities,2025-02-27,Rejected,30,58,55,-3%,2 hrs,John Doe,1,2025-03-07 00:00:00,Data not verified yet
158,T1021,Amit Das,Nagaland,Patna,Block B,SCH059,Mission School West,SOC SCI,8,MI10019,Reading fluency project,09/04/2025,Rejected,62,36,51%,NA,10.0,Ayesha Khan,4,2025-04-12 00:00:00,Great improvement shown
159,T1011,Rahul Devi,Uttar Pradesh,Amritsar,Block A,SCH012,ZP School No. 1,SOC SCI,Class 6,,Improving basic numeracy,2025-03-27,In-Review,16,6,4,-2,3.5,John Doe,3,2025-03-27 00:00:00,Need support with data entry
160,T1009,Amit Das,Bihar,Lucknow,Block D,SCH009,Govt High School Central,MATH,IX,MI10027,Reading fluency project,2025-03-20,In-Review,72,11,21,10,11.5,Anamika Singh,2,2025-03-29 00:00:00,
161,T1024,Suresh Kaur,Uttar Pradesh,Amritsar,Block A,SCH008,Govt High School East,SOC SCI  ,7,MI10027,Peer learning circles,2025-02-23,Approved,32,1,16,15,,Simran Kaur,5,2025-03-04 00:00:00,Need support with data entry
162,T1062,Sunita Kumar,Punjab,Kohima,Block B,SCH041,Model School West,MATH,8th,MI10053,Improving basic numeracy,2025-04-17,In-Review,45,120,83,-37%,2 hrs,Ayesha Khan,4,2025-04-27 00:00:00,
163,T1077,Priya Singh,Uttar Pradesh,Patna,Block C,SCH027,Govt High School East,Social Science  ,Class 6,MI10039,Reading fluency project,2025-03-09,Submitted,9,25,49,24,17.5,Simran Kaur,2,2025-03-10 00:00:00,
164,T1059,Amit Kaur,Bihar,Patna,Block C,SCH060,Govt High School West,English,Class 6,MI10006,Improving basic numeracy,08/03/2025, in review,78,39,54,15,2 hrs,Ravi Kumar,5.0,2025-03-09 00:00:00,Need support with data entry
165,T1070, Neha Das ,Uttar Pradesh,Lucknow,Block B,SCH046,Mission School West,Social Science,8,MI10079,Science lab activities,2025-03-11,Draft,,6,4,-2,8.9,Simran Kaur,2,2025-03-21 00:00:00,
166,T1073,Anita Kumar,Nagaland,Gaya,Block D,SCH020,Model School East,Social Science  ,9,MI10115,Peer learning circles,03-02-25,in review,47,41,50,9,11.5,Anamika Singh,6,2025-02-04 00:00:00,Follow-up visit required
167,T1060,Amit Das,Nagaland,Amritsar,Urban,SCH016,ZP School East,Mathematic,7,MI10105,Peer learning circles,25/02/2025,Rejected,48,69,86,17,9.3,Anamika Singh,NA,2025-03-04 00:00:00,Great improvement shown
168,T1077,Amit Singh,Nagaland,Patna,Block A,SCH014,ZP School West,SOC SCI,6,MI10085,Reading fluency project,2025-02-27, Rejected,62,25,26,1,19.7,Simran Kaur,5,2025-02-27 00:00:00,
169,T1038, Rahul Singh ,Bihar,Patna,Rural,SCH036,Mission School No. 1,maths,6,MI10090,Peer learning circles,2025-02-20,in review,53,55,67,12,5.8,Ravi Kumar,6,2025-02-21 00:00:00,Data not verified yet
170,T1056, Anita Kumar ,Punjab,Dimapur,Block D,SCH058,Model School West,Science,8th,MI10071,Homework support group,2025-02-19,Draft,5,73,83,10,11.4,Simran Kaur,6,2025-02-26 00:00:00,Data not verified yet
171,T1036,Sunita Das,Bihar,Gaya,Block B,SCH031,Govt High School West,social science ,10,MI10116,Science lab activities,10/03/2025,Rejected,65,73,91,18,6.1,Anamika Singh,4,2025-03-19 00:00:00,Great improvement shown
172,T1080,Rahul Singh,Nagaland,Gaya,Block B,SCH033,Govt High School Central,maths,8,MI10036,Science lab activities,02/01/2025,In-Review,80,19,35,16,6.9,Ayesha Khan,5,2025-01-04 00:00:00,Teacher changed mid-term
173,T1057,Anita Devi,Uttar Pradesh,Patna,Rural,SCH017,Govt High School No. 1,Science,8th,MI10039,Homework support group,06-04-25,Draft,54,60%,63,,13.7,Ayesha Khan,NA,2025-04-14 00:00:00,Data not verified yet
174,T1035, Neha Singh ,Uttar Pradesh,Gaya,Block C,SCH042,Model School East,SOC SCI,9,MI10076,Reading fluency project,2025-03-08,in review,45,70%,65,,5.7,Ravi Kumar,NA,2025-03-17 00:00:00,Need support with data entry
175,T1028, Priya Kaur ,Bihar,Gaya,Urban,SCH009,Model School West,Science,7,MI10033,Science lab activities,2025-03-01,Submitted,40,54,71,17,6.7,Ayesha Khan,3,2025-03-03 00:00:00,Teacher changed mid-term
176,T1051,Anita Kaur,Nagaland,Gaya,Block B,SCH035,Model School No. 2,social science ,7,MI10092,Science lab activities,2025-01-14,Submitted,37,57,52,-5,18.1,Anamika Singh,NA,2025-01-21 00:00:00,Teacher changed mid-term
177,T1009, Suresh Kumar ,Nagaland,Kohima,Block A,SCH037,Mission School Central,SOC SCI  ,10,MI10081,Improving basic numeracy,2025-02-16,Approved,30+,58,77%,NA,17.9,Simran Kaur,4,2025-02-19 00:00:00,Great improvement shown
178,T1031,Sunita Yadav,Bihar,Lucknow,Block D,SCH035,Model School No. 1,Math  ,Class 6,MI10101,Improving basic numeracy,2025-02-21, SUBMITTED,71,58,83,25%,2 hrs,Ayesha Khan,5,2025-02-21 00:00:00,Great improvement shown
179,T1007,Rohit Kumar,Nagaland,Ludhiana,Urban,SCH005,Govt High School No. 1, Eng   ,Ten,MI10029,Improving basic numeracy,2025-04-13,Approved,56,41,39,-2,6.7,Ayesha Khan,4,2025-04-15 00:00:00,Data not verified yet
180,T1075, Rahul Devi ,Bihar,Dimapur,Block B,SCH002,Model School No. 1,Math,6,MI10012,Peer learning circles,2025-04-24, in review,65,16,17,1,14.3,Anamika Singh,3,2025-04-29 00:00:00,Teacher changed mid-term
181,T1068,Priya Das,Uttar Pradesh,Amritsar,Block D,SCH050,ZP School Central,Math  ,9,MI10020,Homework support group,2025-03-05,in review,11,46,50,4%,,Anamika Singh,5.0,2025-03-05 00:00:00,Teacher changed mid-term
182,T1057,Neha Yadav,Punjab,Varanasi,Block B,SCH050,Govt High School Central,Social Science,7,MI10053,Reading fluency project,18/02/2025, Submitted,67,6,29,23,7.2,Simran Kaur,2,2025-02-18 00:00:00,Data not verified yet
183,T1060,Sunita Yadav,Punjab,Varanasi,Block B,SCH057,Mission School West,Science  ,Ten,MI10074,Peer learning circles,2025-04-20,Rejected,67,27%,40,,4.4,Anamika Singh,5,2025-04-20 00:00:00,Teacher changed mid-term
184,T1065,Rahul Yadav,Nagaland,Kohima,Rural,SCH053,Govt High School East, Eng ,9,MI10097,Improving basic numeracy,30/03/2025,Draft,-5,37,39,2,0.5,John Doe,2,2025-04-05 00:00:00,Great improvement shown
185,T1001,Priya Yadav,Uttar Pradesh,Patna,Block C,SCH028,Mission School West,sci,Ten,MI10101,Improving basic numeracy,21/03/2025,in review,70,46,69%,,11.2,Ravi Kumar,6,2025-03-26 00:00:00,Great improvement shown
186,T1075, Suresh Kaur ,Punjab,Varanasi,Block C,SCH058,Mission School West,SOC SCI,Class 7,MI10009,Science lab activities,2025-02-14,In-Review,20,60,77,17,19.6,Ayesha Khan,5.0,2025-02-21 00:00:00,Need support with data entry
187,T1010,Priya Devi,Uttar Pradesh,Gaya,Rural,SCH010,Model School No. 2,Social Science,IX,MI10003,Science lab activities,23-02-25,Draft,58,56%,74,,8.2,Simran Kaur,3,2025-03-02 00:00:00,
188,T1059, Rohit Das ,Punjab,Lucknow,Block B,SCH051,Mission School No. 2, Eng ,Class 6,MI10099,Improving basic numeracy,2025-01-19, Rejected,25,68,72,4%,2 hrs,Simran Kaur,4,2025-01-23 00:00:00,Follow-up visit required
189,T1041, Neha Devi ,Uttar Pradesh,Kohima,Urban,SCH011,Mission School No. 1,Math,Class 7,MI10099,Reading fluency project,2025-13-01, in review,69,42,57,15,2 hrs,Anamika Singh,4,2025-03-05 00:00:00,Data not verified yet
190,T1071,Priya Singh,Bihar,Dimapur,Urban,SCH054,ZP School East,MATH,7,MI10078,Reading fluency project,2025-03-16,SUBMITTED,40,25,20,-5,12.1,Anamika Singh,3,2025-03-22 00:00:00,Great improvement shown
191,T1002,Rohit Singh,Uttar Pradesh,Lucknow,Block D,SCH056,Govt High School No. 2, Eng ,Class 7,MI10037,Reading fluency project,14/04/2025, Rejected,58,17,38,21,,Anamika Singh,1,2025-04-14 00:00:00,Teacher changed mid-term
192,T1060,Anita Devi,Punjab,Dimapur,Block C,SCH036,Model School No. 1,maths,Ten,MI10072,Homework support group,2025-01-29,Submitted,43,60,58,-2,2 hrs,Simran Kaur,1,2025-02-07 00:00:00,Data not verified yet
193,T1034,Sunita Kaur,Bihar,Varanasi,Urban,SCH047,Govt High School Central,Science,Ten,MI10041,Homework support group,2025-04-23,Approved,39,46%,54,NA,12.6,Ayesha Khan,2,2025-05-01 00:00:00,Follow-up visit required
194,T1039,Rohit Kaur,Uttar Pradesh,Gaya,Urban,SCH038,Mission School No. 2,Math,8,MI10048,Homework support group,2025-02-22,Draft,-5,19,30,11,11.0,Ayesha Khan,1,2025-02-23 00:00:00,Great improvement shown
195,T1047, Anita Yadav ,Uttar Pradesh,Ludhiana,Rural,SCH020,Govt High School No. 1,Social Science  ,8,MI10019,Reading fluency project,2025-02-09, Draft,59,120,11,-109,9.4,Simran Kaur,NA,2025-02-13 00:00:00,Data not verified yet
196,T1078,Suresh Das,Punjab,Ludhiana,Rural,SCH023,Govt High School No. 1,Science,10,MI10045,Science lab activities,21/01/2025,SUBMITTED,35,64,77,13,15.1,Ayesha Khan,1,2025-01-24 00:00:00,
197,T1024, Sunita Kaur ,Bihar,Ludhiana,Block C,SCH025,Model School No. 2,sci  ,9,MI10098,Science lab activities,2025-01-16,In-Review,-5,46,63,17,13.7,John Doe,4,2025-01-20 00:00:00,Teacher changed mid-term
198,T1061,Neha Devi,Bihar,Kohima,Rural,SCH007,Model School East,sci,7,MI10051,Homework support group,2025-03-30,Submitted,26,8,14,6,5.6,Anamika Singh,4,2025-04-04 00:00:00,Teacher changed mid-term
199,T1066,Rohit Devi,Nagaland,Gaya,Block A,SCH017,Model School East,Social Science,8,,Improving basic numeracy,2025-04-17,in review,,22,29,7,9.8,John Doe,4,2025-04-24 00:00:00,
200,T1070,Rahul Kumar,Nagaland,Gaya,Block D,SCH029,Mission School East, Eng ,8th,,Reading fluency project,2025-03-13,SUBMITTED,26,62,70,8,11.4,John Doe,2,2025-03-21 00:00:00,Need support with data entry
